words,commit_message
74,cbcae8478f Merge pull request #32209 from hashicorp/jbardin/data-source-destroy-edges
64,23aaa39747 Merge pull request #32308 from hashicorp/jbardin/output-eval-fix
36,f993106e49 fix logic in MultiErrors append func
36,5dea138a11 fix logic in multiErrors Append func
60,c66a797f2a Merge pull request #32307 from hashicorp/jbardin/output-perf
21,191a5f1018 add test for override
19,e216b8180f Update CHANGELOG.md
19,e039a012c2 Update CHANGELOG.md
44,8253821e56 go get github.com/zclconf/go-cty-yaml@v1.0.3
23,e36886c0e7 add task stage override
58,1ce0b91e67 Merge pull request #32020 from hashicorp/fix-future-lang-2
30,97f9cb1645 Remove unnecessary explanation
45,a76b634f82 Update website/docs/internals/json-format.mdx
40,c1633436b8 Add more equivalence test cases (#32296)
32,2be890a37c add policy evaluation task stage
44,d7c7f3689c refactor task results to run as a task stage
27,dcd762e81d evaluate outputs from state
42,c9d6f82ac5 don't re-set changes for refreshed outputs
78,ec6451a82a Merge pull request #31999 from JarrettSpiker/jspiker/workspace-delete-rum-docs
60,21d98697cb Add manual line breaks to workspace delete command help text
73,37b88b33ce Rollout equivalence testing during Terraform releases and builds (#31928)
51,1e1312fb78 Remove use of RUM acronymn in workspace delete docs
53,f5a424e65d Update website/docs/cli/commands/workspace/delete.mdx
69,2b14670dfd Merge pull request #32260 from hashicorp/jbardin/resolved-provided-by
65,60f82eea40 Merge pull request #32236 from hashicorp/jbardin/1.3-destroy-perf
68,c96da72319 Merge pull request #32246 from hashicorp/jbardin/plan-orphan-deleted
46,8e18922170 ProvidedBy should return the resolved provider
52,79175b29f3 Merge pull request #32261 from sivchari/fix-prealloc
46,e6653f97ef Merge pull request #32256 from Sanim16/patch-1
74,401fa66108 Merge pull request #31949 from JarrettSpiker/jspiker/safe-delete-workspace
35,0ae6efff9d Add CHANGELOG entry for safe delete
24,cebd5e3fce Upgrade go-tfe to 1.12.0
64,c16d726f2c Succeed cloud workspace deletion if the workspace does not exist
54,1dafd7c0b1 Fix test compilation errors caused by interface change
52,060255a9d5 Use safe or force workspace delete for cloud backend
39,ef4798de8e fix: pre allocate for composite literal
19,c0964438d6 Update CHANGELOG.md
19,988e779295 Update CHANGELOG.md
51,6fd3a8cdf4 go get cloud.google.com/go/storage@v1.28.0 (#32203)
68,353ab0a177 Merge pull request #32241 from hashicorp/update_linux_distro_support
49,96e8bd0c3e Merge pull request #32250 from stefkiourk/patch-2
49,9f5f8b1767 Merge pull request #32249 from stefkiourk/patch-1
16,c02d0737ca Update index.mdx
16,ad7a83b7a2 Adding Fedora 37
38,3d017bcf8b Grammar and syntax fixes in import.mdx
37,a86260755b Added a missing comma on backends.mdx
36,7946e4a88a a deleted orphan should have no plan
21,406a8830a7 Restoring AmazonLinux
32,16a381f33d Updating supported linux distros
67,62a8b9ef1d Merge pull request #32207 from hashicorp/jbardin/destroy-plan-state
69,b5168eb6f4 Merge pull request #32208 from hashicorp/jbardin/pre-desstroy-refresh
48,b6a67f622f check walkDestroy to help DestroyEdgeTransformer
57,e293992d45 docs: "How Terraform Uses Unicode" should mention HCL too
19,069cc3eec9 Update CHANGELOG.md
42,530c0d33e4 go.mod: go get -u github.com/mitchellh/cli
66,242b8a726c Merge pull request #32206 from hashicorp/jbardin/communicator-size
38,ebd5a17b17 ensure destroy edges from data sources
47,3db3ed03fb ensure destroy plan contains valid state values
40,3ea704ef81 Make the pre-destroy refresh a full plan
29,8ba8d5aec4 fix typo in upload size check
70,0c7fda1906 Update HCL and go-cty to fix optional and default attributes  (#32178)
42,38763a5694 Cleanup after v1.4.0-alpha20221109 release
28,9add90c256 Release v1.4.0-alpha20221109
43,0227952ace Merge pull request #31274 from irab/patch-1
47,a32648aa53 Update website/docs/cli/commands/state/show.mdx
49,8664c9c1f8 Merge pull request #31991 from sigwinch28/patch-1
60,92719db198 Update website/docs/internals/provider-registry-protocol.mdx
54,a574e95dcd Merge pull request #31834 from fungusakafungus/patch-1
19,1734e17cce Update CHANGELOG.md
59,d0a35c60a7 providercache: Ignore lock-mismatching global cache entries
71,be5984d664 Merge pull request #32004 from hashicorp/brandonc/nested_attr_sensitive
57,4148dbf016 Merge pull request #32125 from hashicorp/fix-links-devdot
19,543a30283f Update CHANGELOG.md
19,0170ed606c Update CHANGELOG.md
20,241bd7cd83 Build with Go 1.19.3
54,755757e8b2 build: exclude .go-version from imports check (#32141)
67,52d724d1d0 Merge pull request #32115 from hashicorp/jbardin/apply-refresh-plan
49,1100eae89f use UIMode instead of 0 changes to detect refresh
71,cccfa5e4af Merge pull request #32111 from hashicorp/jbardin/refresh-only-data-read
56,6521355ba5 Convert variable types before applying defaults (#32027)
80,6663cde619 Merge pull request #23965 from tpaschalis/disallow-s3-backend-key-trailing-slash
